Order ID,Product,Quantity Ordered,Price Each,Order Date
1,Monitor,1,150.89,2023-10-07
2,Keyboard,4,36.51,2023-01-03
3,Monitor,9,26.52,2023-08-31
4,Desk,1,15.66,2023-01-23
5,Keyboard,4,106.02,2023-05-26
6,Laptop,9,47.78,2023-02-14
7,Tablet,7,51.88,2023-10-05
8,External Hard Drive,5,163.79,2023-07-29
9,Laptop,3,142.65,2023-01-06
10,Headphones,5,39.54,2023-07-24
11,Headphones,2,27.62,2023-06-02
12,Monitor,6,171.02,2023-11-07
13,External Hard Drive,5,163.35,2023-09-12
14,Chair,9,33.72,2023-01-15
15,Desk,2,114.89,2023-08-12
16,External Hard Drive,6,119.7,2023-08-10
17,Monitor,1,135.64,2023-11-08
18,Printer,2,172.51,2023-01-31
19,Monitor,7,62.81,2023-09-27
20,Headphones,3,80.33,2023-11-19
21,Keyboard,5,143.35,2023-04-29
22,Monitor,10,130.65,2023-06-28
23,Tablet,4,41.05,2023-11-03
24,Desk,5,198.01,2023-08-12
25,Tablet,4,140.08,2023-09-10
26,Laptop,4,166.14,2023-12-09
27,Headphones,7,60.87,2023-10-12
28,Keyboard,10,176.51,2023-07-07
29,Headphones,4,134.53,2023-06-05
30,Desk,8,37.15,2023-04-18
31,Mouse,4,151.55,2023-07-03
32,Tablet,5,151.93,2023-07-30
33,Desk,10,85.89,2023-07-02
34,Keyboard,3,106.81,2023-04-27
35,Monitor,1,173.61,2023-10-27
36,Mouse,3,160.5,2023-04-20
37,Desk,10,22.07,2023-03-12
38,Desk,10,199.26,2023-01-31
39,Tablet,5,194.5,2023-05-09
40,Laptop,2,139.52,2023-05-03
41,Tablet,5,156.03,2023-03-16
42,Headphones,2,65.77,2023-02-06
43,Mouse,8,10.62,2023-12-24
44,Printer,9,154.77,2023-05-16
45,Tablet,2,175.4,2023-08-22
46,Printer,9,125.7,2023-03-13
47,Mouse,6,154.88,2023-11-09
48,Tablet,9,184.51,2023-11-01
49,External Hard Drive,6,102.84,2023-03-31
50,Monitor,6,176.96,2023-05-19
51,Printer,4,21.01,2023-12-10
52,External Hard Drive,2,26.27,2023-06-24
53,Chair,2,195.82,2023-10-31
54,Tablet,3,34.39,2023-07-07
55,Chair,9,41.37,2023-02-16
56,Tablet,10,90.4,2023-12-09
57,Keyboard,9,153.5,2023-01-10
58,Keyboard,5,85.81,2023-04-14
59,Headphones,8,180.93,2023-09-03
60,Chair,2,57.1,2023-05-03
61,Monitor,6,14.0,2023-06-02
62,Tablet,4,121.8,2023-04-01
63,Laptop,2,144.49,2023-02-23
64,Laptop,4,22.81,2023-10-20
65,Laptop,6,23.46,2023-11-19
66,Keyboard,5,137.11,2023-03-28
67,Keyboard,9,35.14,2023-09-28
68,External Hard Drive,10,99.81,2023-09-01
69,Chair,7,46.18,2023-02-06
70,Monitor,7,77.32,2023-10-04
71,Desk,8,174.13,2023-04-02
72,Laptop,2,21.52,2023-10-20
73,Headphones,2,57.24,2023-07-22
74,Keyboard,9,95.24,2023-05-21
75,Desk,3,62.92,2023-01-15
76,Keyboard,2,94.19,2023-11-13
77,Tablet,2,19.61,2023-06-08
78,Tablet,1,194.11,2023-10-16
79,Keyboard,3,87.22,2023-03-04
80,Chair,4,174.28,2023-07-31
81,Laptop,3,82.0,2023-05-17
82,Desk,5,186.04,2023-04-03
83,Chair,5,90.37,2023-09-04
84,Tablet,8,39.41,2023-01-23
85,Printer,4,194.05,2023-01-12
86,External Hard Drive,9,21.58,2022-12-30
87,Headphones,1,19.53,2023-05-05
88,Chair,9,184.68,2023-03-25
89,Tablet,3,20.81,2023-04-19
90,Tablet,2,171.76,2023-04-04
91,Monitor,10,22.91,2023-11-04
92,Keyboard,7,32.78,2023-04-25
93,External Hard Drive,4,119.99,2023-09-07
94,Laptop,10,25.58,2023-07-24
95,External Hard Drive,10,109.33,2023-01-03
96,Printer,4,137.25,2023-04-23
97,Headphones,4,60.47,2023-11-01
98,Mouse,5,96.87,2023-12-11
99,Monitor,1,97.07,2023-02-24
100,External Hard Drive,2,23.92,2023-09-04
